,Feb2026,Mar2026,Apr2026,mean,std,cv
da_net_import,1.3571428571428572,1.4285714285714286,1.107142857142857,1.2976190476190474,0.1378075821760742,0.10620033855770857
proxy_rmean32,1.0714285714285714,1.2142857142857142,1.607142857142857,1.2976190476190474,0.22650354274333862,0.17455318890312335
load_deviation,1.4642857142857144,1.1785714285714286,1.107142857142857,1.25,0.154303349962092,0.12344267996967359
da_price_qh_diff_next,1.25,1.1428571428571428,1.2142857142857142,1.2023809523809523,0.04454354031873742,0.03704611274033607
hour_cos,1.0714285714285714,1.4285714285714286,1.0357142857142856,1.1785714285714286,0.17737695744942078,0.1505016608661752
temp,0.9642857142857142,1.0357142857142856,1.4642857142857144,1.1547619047619049,0.22080044036894542,0.19120862877310735
proxy_yesterday,1.107142857142857,1.1428571428571428,1.1785714285714286,1.142857142857143,0.029160592175990294,0.025515518153991504
temp_national,1.1428571428571428,1.1785714285714286,1.107142857142857,1.1428571428571426,0.029160592175990294,0.025515518153991515
solar_surprise_lag,1.0,1.5357142857142858,0.7857142857142858,1.107142857142857,0.31542003094028026,0.2848955118170274
wind_national,1.107142857142857,1.0714285714285714,0.9642857142857142,1.0476190476190474,0.06070261325705695,0.05794340356355437
temp_national_deviation,1.0,1.0357142857142856,1.0714285714285714,1.0357142857142856,0.0291605921759902,0.028155054514749162
qh_in_hour,1.107142857142857,1.1428571428571428,0.7857142857142858,1.0119047619047619,0.16060401860990517,0.15871455956743571
temp_national_spread,1.2857142857142856,0.6785714285714286,0.9642857142857142,0.9761904761904762,0.24800793638094826,0.2540569104390202
cloudcover,0.7142857142857143,0.9642857142857142,1.25,0.9761904761904762,0.21886638465297897,0.22420458915671018
proxy_rmax4,1.0357142857142856,0.9642857142857142,0.9285714285714286,0.9761904761904762,0.044543540318737335,0.04562996813138947
radiation_national,0.9642857142857142,1.0,0.9285714285714286,0.9642857142857143,0.0291605921759902,0.03024061410843428
solar_surprise_rmean4,1.3214285714285714,0.6785714285714286,0.8214285714285714,0.9404761904761904,0.27561516435214817,0.29305916209595506
load_rmean16,0.9642857142857142,1.0357142857142856,0.75,0.9166666666666666,0.12140522651411388,0.13244206528812424
prod_rmean4,0.8214285714285714,0.8928571428571428,1.0357142857142856,0.9166666666666666,0.08908708063747475,0.09718590614997247
temp_deviation,1.0,0.9285714285714286,0.8214285714285714,0.9166666666666666,0.07338588098772593,0.08005732471388284
hour_sin,0.9642857142857142,0.8214285714285714,0.7857142857142858,0.8571428571428571,0.07715167498104589,0.09001028747788688
nowcast_convergence,0.8214285714285714,0.75,0.7857142857142858,0.7857142857142857,0.0291605921759902,0.037113480951260255
da_flow_hu,0.8571428571428572,0.5,0.9285714285714286,0.7619047619047619,0.1874763779526622,0.24606274606286915
proxy_pos_ratio_16,0.6785714285714286,0.8571428571428572,0.6428571428571428,0.7261904761904763,0.09373818897633113,0.12908209629527564
nowcast_trend_h2_h5,0.8214285714285714,0.6428571428571428,0.7142857142857143,0.7261904761904762,0.07338588098772592,0.1010559672617865
prod_momentum,0.5357142857142857,0.6428571428571428,0.8928571428571428,0.6904761904761904,0.14964053678543493,0.21672077741338855
nowcast_h4,0.8214285714285714,0.5357142857142857,0.6785714285714286,0.6785714285714285,0.11664236870396084,0.171894017037416
xborder_vol,0.6071428571428571,0.3214285714285714,1.0357142857142856,0.6547619047619047,0.2935435239509036,0.44832101839774374
nowcast_h3,0.5357142857142857,0.75,0.6428571428571428,0.6428571428571428,0.08748177652797065,0.13608276348795437
temp_surprise_lag,0.5357142857142857,0.75,0.6071428571428571,0.6309523809523809,0.08908708063747481,0.141194618368828
nowcast_pred_error,0.6428571428571428,0.5357142857142857,0.6785714285714286,0.619047619047619,0.060702613257056975,0.09805806756909205
