datetime,direction,pred,target,size,pnl,spread,limit_price,thresh_s,thresh_d,scale_s,scale_d,month,week
2026-02-28 11:15:00,surplus,19.925960864131046,20.549,5.0,18.45434375,0.1999999999999993,-8.0,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-28 11:30:00,surplus,23.475949224105825,19.88,5.0,12.19184375,2.0299999999999994,-13.01,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-28 11:45:00,surplus,22.706477048691745,14.096,5.0,9.70434375,5.280000000000001,-15.0,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-28 12:30:00,surplus,21.707166579236436,15.569,5.0,6.051437499999997,2.299999999999999,-12.22,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-28 12:45:00,surplus,18.29941994591256,13.47,5.0,10.438937499999996,0.48999999999999844,-8.71,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-28 13:15:00,surplus,23.69562901513897,16.73,5.0,18.579875,0.870000000000001,-7.43,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-28 13:30:00,surplus,21.046353787694,13.697,5.0,21.942375,0.39999999999999947,-4.74,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-28 13:45:00,surplus,23.230133459099314,21.666,5.0,22.867375000000003,0.4400000000000004,-4.0,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-28 14:00:00,surplus,17.16347658318855,21.389,5.0,9.6965625,0.47000000000000064,-4.02,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-28 14:15:00,surplus,20.073686110339274,18.972,5.0,9.809062500000001,0.5399999999999996,-3.93,3.0,4.0,1.5,0.8,2026-02,2026-02-23/2026-03-01
2026-02-28 14:30:00,surplus,19.32193914036407,14.255,5.0,12.2965625,0.020000000000000018,-1.94,3.0,4.0,1.5,0.8,2026-02,2026-02-23/2026-03-01
2026-02-28 14:45:00,surplus,13.271721914618933,4.897,5.0,30.5340625,2.0199999999999996,12.65,3.0,4.0,1.5,0.8,2026-02,2026-02-23/2026-03-01
2026-02-28 15:00:00,surplus,18.021148305813647,20.431,5.0,14.19271875,0.2699999999999996,-4.9,3.0,4.0,1.5,0.8,2026-02,2026-02-23/2026-03-01
2026-02-28 15:15:00,surplus,16.81085080440621,21.888,5.0,17.69271875,1.5299999999999998,-2.1,3.0,4.0,1.5,0.8,2026-02,2026-02-23/2026-03-01
2026-02-28 15:30:00,surplus,12.55194468662203,17.223,5.0,25.442718749999997,3.0799999999999996,4.1,3.0,4.0,1.5,0.8,2026-02,2026-02-23/2026-03-01
2026-02-28 15:45:00,surplus,7.63139072624288,6.652,5.0,72.15521875,2.479999999999997,41.47,3.0,4.0,1.5,0.8,2026-02,2026-02-23/2026-03-01
2026-02-28 16:00:00,surplus,12.565938686274814,-1.459,5.0,-234.31562499999998,0.3000000000000007,25.12,3.0,4.0,1.5,0.8,2026-02,2026-02-23/2026-03-01
2026-02-28 16:15:00,surplus,9.496681624216016,-6.017,5.0,-192.528125,5.729999999999997,58.55,3.0,4.0,1.5,0.8,2026-02,2026-02-23/2026-03-01
2026-02-28 23:45:00,surplus,5.572574569117912,16.711,5.0,-21.7601875,4.369999999999997,44.58,3.0,4.0,1.5,0.8,2026-02,2026-02-23/2026-03-01
2026-03-01 00:30:00,surplus,3.0905926366341223,6.527,4.0177704276243595,3.6905732484247014,2.8999999999999986,53.92,3.0,5.0,1.3,0.5,2026-03,2026-02-23/2026-03-01
