timestamp,signal_percent,reason,prediction_mwh,created_at
2026-01-29 23:00:15.494073+00,20,proportional: imbalance=2.94MWh,2.9409942203229145,2026-01-29 23:00:15.503529+00
2026-01-29 23:03:15.436966+00,60,proportional: imbalance=-1.07MWh,-1.0714007553143952,2026-01-29 23:03:15.44895+00
2026-01-29 23:06:15.504592+00,43,proportional: imbalance=0.62MWh,0.6212215131244173,2026-01-29 23:06:15.510182+00
2026-01-29 23:09:15.717751+00,44,proportional: imbalance=0.50MWh,0.5019126620898223,2026-01-29 23:09:15.732105+00
2026-01-29 23:12:15.665488+00,62,proportional: imbalance=-1.23MWh,-1.2340060273991798,2026-01-29 23:12:15.673446+00
2026-01-29 23:15:14.702419+00,36,proportional: imbalance=1.38MWh,1.384826042116269,2026-01-29 23:15:14.707821+00
2026-01-29 23:18:15.825064+00,39,proportional: imbalance=1.09MWh,1.0927332393225304,2026-01-29 23:18:15.830458+00
2026-01-29 23:21:15.832416+00,54,proportional: imbalance=-0.50MWh,-0.4992503543076633,2026-01-29 23:21:15.844337+00
2026-01-29 23:24:15.576028+00,61,proportional: imbalance=-1.17MWh,-1.1711354936051588,2026-01-29 23:24:15.581393+00
2026-01-29 23:27:15.74541+00,45,proportional: imbalance=0.47MWh,0.469472447283398,2026-01-29 23:27:15.769576+00
2026-01-29 23:30:15.609384+00,38,proportional: imbalance=1.18MWh,1.1783757189649233,2026-01-29 23:30:15.621833+00
2026-01-29 23:33:15.665391+00,73,proportional: imbalance=-2.35MWh,-2.354141798105086,2026-01-29 23:33:15.677688+00
2026-01-29 23:36:15.658638+00,49,proportional: imbalance=0.01MWh,0.005819394400248515,2026-01-29 23:36:15.670608+00
2026-01-29 23:39:15.701058+00,36,proportional: imbalance=1.36MWh,1.3625546564511344,2026-01-29 23:39:15.713848+00
2026-01-29 23:42:15.679775+00,73,proportional: imbalance=-2.31MWh,-2.305136225904756,2026-01-29 23:42:15.698069+00
2026-01-29 23:45:15.637297+00,72,proportional: imbalance=-2.30MWh,-2.296899049887841,2026-01-29 23:45:15.651435+00
2026-01-29 23:48:15.776797+00,100,imbalance=-5.10MWh < -5.0MW,-5.10033244701564,2026-01-29 23:48:15.782343+00
2026-01-29 23:51:15.504395+00,97,proportional: imbalance=-4.73MWh,-4.728611100086244,2026-01-29 23:51:15.509613+00
2026-01-29 23:54:15.53423+00,91,proportional: imbalance=-4.14MWh,-4.1403271245483255,2026-01-29 23:54:15.548331+00
2026-01-29 23:57:14.716775+00,100,imbalance=-5.39MWh < -5.0MW,-5.387869717676693,2026-01-29 23:57:14.729136+00
2026-01-30 00:00:15.579128+00,74,proportional: imbalance=-2.44MWh,-2.4360333065912387,2026-01-30 00:00:15.589006+00
2026-01-30 00:03:15.857965+00,81,proportional: imbalance=-3.17MWh,-3.1702294090836176,2026-01-30 00:03:15.863267+00
2026-01-30 00:06:16.235016+00,84,proportional: imbalance=-3.43MWh,-3.4298925983078514,2026-01-30 00:06:16.24197+00
2026-01-30 00:09:15.529384+00,100,imbalance=-6.72MWh < -5.0MW,-6.723967684252106,2026-01-30 00:09:15.535633+00
2026-01-30 00:12:15.40144+00,100,imbalance=-8.65MWh < -5.0MW,-8.652404261629313,2026-01-30 00:12:15.422632+00
2026-01-30 00:15:15.558388+00,100,imbalance=-5.16MWh < -5.0MW,-5.1624734252192095,2026-01-30 00:15:15.568279+00
2026-01-30 00:18:15.66439+00,99,proportional: imbalance=-4.93MWh,-4.927070864509371,2026-01-30 00:18:15.670651+00
2026-01-30 00:21:15.731877+00,100,imbalance=-7.41MWh < -5.0MW,-7.411242708636759,2026-01-30 00:21:15.73885+00
2026-01-30 00:24:15.387773+00,100,imbalance=-5.86MWh < -5.0MW,-5.857624035790658,2026-01-30 00:24:15.393447+00
2026-01-30 00:27:15.51351+00,100,imbalance=-7.98MWh < -5.0MW,-7.982703291294282,2026-01-30 00:27:15.519645+00
2026-01-30 00:30:15.902866+00,79,proportional: imbalance=-2.98MWh,-2.975974127524616,2026-01-30 00:30:15.908656+00
2026-01-30 00:33:15.704949+00,100,imbalance=-8.42MWh < -5.0MW,-8.422845451851819,2026-01-30 00:33:15.711309+00
2026-01-30 00:36:15.6285+00,100,imbalance=-5.83MWh < -5.0MW,-5.834184587633669,2026-01-30 00:36:15.634067+00
2026-01-30 00:39:15.808866+00,97,proportional: imbalance=-4.75MWh,-4.749992011345477,2026-01-30 00:39:15.822987+00
2026-01-30 00:42:15.463548+00,99,proportional: imbalance=-4.93MWh,-4.931836112225323,2026-01-30 00:42:15.469677+00
2026-01-30 00:45:15.596606+00,91,proportional: imbalance=-4.17MWh,-4.1651176263908765,2026-01-30 00:45:15.602461+00
2026-01-30 00:48:15.485141+00,81,proportional: imbalance=-3.15MWh,-3.147308791363556,2026-01-30 00:48:15.490652+00
2026-01-30 00:51:15.709119+00,84,proportional: imbalance=-3.46MWh,-3.463136667402698,2026-01-30 00:51:15.72415+00
2026-01-30 00:54:15.634738+00,78,proportional: imbalance=-2.86MWh,-2.863162556561524,2026-01-30 00:54:15.640157+00
2026-01-30 00:57:15.436503+00,63,proportional: imbalance=-1.33MWh,-1.3329036278985198,2026-01-30 00:57:15.442068+00
2026-01-30 01:00:16.595253+00,71,proportional: imbalance=-2.19MWh,-2.185325120047827,2026-01-30 01:00:16.610807+00
2026-01-30 01:03:15.478102+00,100,imbalance=-5.52MWh < -5.0MW,-5.523016668558405,2026-01-30 01:03:15.490299+00
2026-01-30 01:06:15.722128+00,100,imbalance=-8.22MWh < -5.0MW,-8.21790480215034,2026-01-30 01:06:15.734308+00
2026-01-30 01:09:15.712601+00,100,imbalance=-6.33MWh < -5.0MW,-6.334182310673327,2026-01-30 01:09:15.725959+00
2026-01-30 01:12:15.541868+00,98,proportional: imbalance=-4.83MWh,-4.830165204660735,2026-01-30 01:12:15.559303+00
2026-01-30 01:15:15.436769+00,87,proportional: imbalance=-3.79MWh,-3.791150119431639,2026-01-30 01:15:15.458349+00
2026-01-30 01:18:15.495817+00,89,proportional: imbalance=-3.94MWh,-3.937923351353369,2026-01-30 01:18:15.516944+00
2026-01-30 01:21:15.684653+00,79,proportional: imbalance=-2.99MWh,-2.990309458495549,2026-01-30 01:21:15.698919+00
2026-01-30 01:24:15.674552+00,82,proportional: imbalance=-3.26MWh,-3.2552510288174337,2026-01-30 01:24:15.696661+00
2026-01-30 01:27:15.603092+00,67,proportional: imbalance=-1.77MWh,-1.7708487490388063,2026-01-30 01:27:15.613627+00
2026-01-30 01:30:15.500208+00,69,proportional: imbalance=-1.90MWh,-1.9008047336542815,2026-01-30 01:30:15.50638+00
2026-01-30 01:33:15.534123+00,65,proportional: imbalance=-1.56MWh,-1.5581476526670959,2026-01-30 01:33:15.548849+00
2026-01-30 01:36:15.595341+00,49,proportional: imbalance=0.05MWh,0.05191148819434103,2026-01-30 01:36:15.618727+00
2026-01-30 01:39:14.373114+00,47,proportional: imbalance=0.30MWh,0.29775310000425703,2026-01-30 01:39:14.378348+00
2026-01-30 01:42:14.340435+00,48,proportional: imbalance=0.16MWh,0.16305091383653156,2026-01-30 01:42:14.346113+00
2026-01-30 01:45:15.534323+00,46,proportional: imbalance=0.36MWh,0.36401836070563504,2026-01-30 01:45:15.541713+00
2026-01-30 01:48:15.47798+00,32,proportional: imbalance=1.80MWh,1.7998304963343708,2026-01-30 01:48:15.483643+00
