target,feature,pearson_r,pearson_p,spearman_r,spearman_p,n_obs,abs_spearman
DA-Imbalance,prev_solar_actual_mean,-0.13658579419165964,0.00907630587024555,-0.17538217391353167,0.0007775816358685039,364,0.17538217391353167
DA-Imbalance,prev2_spread_idm_imb_mean,0.02959807929908862,0.575113906527193,0.17537763425720448,0.0008181140102393652,361,0.17537763425720448
DA-Imbalance,month,-0.13034776507361093,0.012812072863844932,-0.16970608768932924,0.0011530096648310981,364,0.16970608768932924
DA-Imbalance,load_error_mean,-0.12918158730761162,0.013644318129846218,-0.16561396262517059,0.001520361476773485,364,0.16561396262517059
DA-Imbalance,prev_flow_hu_mean,-0.10366812183803167,0.04811097349217946,-0.16269483940716817,0.001844963458742467,364,0.16269483940716817
DA-Imbalance,prev_load_error_mean,-0.08247644116110646,0.11622557501264066,-0.16057367290243998,0.0021193459587767094,364,0.16057367290243998
DA-Imbalance,flow_hu_mean,-0.07580456853482881,0.14891850896526887,-0.14339757378362608,0.006132360622124016,364,0.14339757378362608
DA-Imbalance,prev_flow_pl_mean,0.07505877416168645,0.15296937233876406,0.13894324853228962,0.007939343605520965,364,0.13894324853228962
DA-Imbalance,prev_spread_da_idm_mean,0.15307844200562654,0.003458675162920431,0.12139693556067237,0.02069474875602679,363,0.12139693556067237
DA-Imbalance,solar_actual_mean,-0.06095982646099492,0.24600065227253648,-0.10251468363699687,0.05066812989094197,364,0.10251468363699687
DA-Imbalance,flow_pl_mean,0.0446509110241351,0.3956705899754554,0.09945471713840331,0.05800621453321314,364,0.09945471713840331
DA-Imbalance,prev2_spread_da_imb_mean,-0.00926348693538693,0.8603817912306243,0.09817781414968757,0.06167797262680687,363,0.09817781414968757
DA-Imbalance,prev_temp_actual_mean,-0.04015600570633845,0.6798820990044289,0.09194318214295921,0.343949852798101,108,0.09194318214295921
DA-Imbalance,prev2_load_error_mean,-0.09012096753458303,0.08598283885233263,-0.0774284246264321,0.14038108837096966,364,0.0774284246264321
DA-Imbalance,prev_net_import_mean,-0.04401918932054516,0.4023958895727455,-0.07729057990577293,0.14109091691879586,364,0.07729057990577293
DA-Imbalance,prev2_spread_da_idm_mean,-0.04452760562412086,0.3982870454984794,-0.07537557892409572,0.1523743596392389,362,0.07537557892409572
DA-Imbalance,flow_cz_mean,0.03645947861814404,0.4880331043369511,0.07291015335847216,0.1651064045039965,364,0.07291015335847216
DA-Imbalance,prev2_da_price_range,-0.042593833057450056,0.41781878750970425,-0.06933639212593135,0.18687073151396225,364,0.06933639212593135
DA-Imbalance,prev2_flow_cz_mean,0.0553814022689629,0.2919815808702619,0.06645707965757779,0.2058863619574461,364,0.06645707965757779
DA-Imbalance,day_of_week,-0.054570224508373365,0.2991181200453033,-0.06543951916702653,0.21293051289997814,364,0.06543951916702653
DA-Imbalance,prev2_temp_actual_mean,-0.018925231254042576,0.8465814382348886,0.06267756029702776,0.5212903373360303,107,0.06267756029702776
DA-Imbalance,prev2_net_import_mean,-0.04114398268178907,0.4338569478352911,-0.061165484577688806,0.2444080182683389,364,0.061165484577688806
DA-Imbalance,prev2_da_price_std,-0.02573730481898889,0.6245382624839796,-0.054447171757258925,0.30021074852976215,364,0.054447171757258925
DA-Imbalance,net_import_mean,-0.035539983928772965,0.49907806778686464,-0.04891770744821804,0.352041070518714,364,0.04891770744821804
DA-Imbalance,solar_forecast_mean,0.021897168559539423,0.8009742220940135,0.046005690131643295,0.5962174218788466,135,0.046005690131643295
DA-Imbalance,is_weekend,-0.006508303917798346,0.9015173783375257,-0.045489386604297986,0.38684938662521906,364,0.045489386604297986
DA-Imbalance,da_price_range,0.11088740748836481,0.03444304839643657,0.04408219426899377,0.4017220913772064,364,0.04408219426899377
DA-Imbalance,prev_flow_cz_mean,0.025334999070235537,0.6299652271099239,0.04110634073274173,0.43427800613249923,364,0.04110634073274173
DA-Imbalance,prev_da_price_range,0.004703360721957227,0.9287431577287079,-0.04004712597489683,0.4462222801607352,364,0.04004712597489683
DA-Imbalance,temp_forecast_mean,-0.0832569822426531,0.3916369305028717,0.038459706383911135,0.692709717010256,108,0.038459706383911135
DA-Imbalance,da_price_std,0.12686017410175798,0.015443621546673577,0.030474880039014534,0.5622124036725614,364,0.030474880039014534
DA-Imbalance,temp_actual_mean,-0.09027955264473016,0.35051649338836643,0.027819479195625985,0.7739967135648919,109,0.027819479195625985
DA-Imbalance,prev_da_price_std,0.027893362533050994,0.5958039482263272,-0.01739232125284429,0.7408650239353416,364,0.01739232125284429
DA-Imbalance,load_forecast_change,0.046922563812213554,0.3720510125460507,-0.004678017720785604,0.9291260992285273,364,0.004678017720785604
IDM-Imbalance,da_price_mean,0.32078417917378765,3.717105207361106e-10,0.3810856640246428,5.0068281040143675e-14,364,0.3810856640246428
IDM-Imbalance,load_forecast_mean,0.27150787356617667,1.4297815778540006e-07,0.3637281658964393,7.926264769758698e-13,364,0.3637281658964393
IDM-Imbalance,load_actual_mean,0.24886556746596025,1.5277736288849127e-06,0.3350403855274059,5.353600006116744e-11,364,0.3350403855274059
IDM-Imbalance,da_price_min,0.25492435630957466,8.282829926366129e-07,0.33081817658213475,9.604026177646304e-11,364,0.33081817658213475
IDM-Imbalance,da_demand_mean,0.24759304251700423,1.7339655880778533e-06,0.3181941544255349,5.229221608570535e-10,364,0.3181941544255349
IDM-Imbalance,gas_mean,0.22739191990594274,1.1815592946108245e-05,0.3106012294057126,1.395985413423943e-09,364,0.3106012294057126
IDM-Imbalance,da_supply_mean,0.2017357489857132,0.00010638263006273641,0.28169638580597484,4.576029524909474e-08,364,0.28169638580597484
IDM-Imbalance,nuclear_mean,0.19319872068324742,0.0002086429593269891,0.27838965736436977,6.65700800099379e-08,364,0.27838965736436977
IDM-Imbalance,prev_spread_idm_imb_mean,0.17252356509183922,0.0009811421537982788,0.2667095103488235,2.597421672599309e-07,362,0.2667095103488235
IDM-Imbalance,prev2_da_price_mean,0.16507749441575892,0.0015757741991398032,0.2666384673856654,2.4248367879607824e-07,364,0.2666384673856654
