datetime,target,pred_median,direction,size,bid,ask,mid,spread,imb_settlement_price,pnl
2026-03-18 10:00:00,18.203,-3.559618857779281,deficit,3.559618857779281,21.7,31.58,26.64,9.88,9.630725,-19.53276330114583
2026-03-18 10:30:00,14.938,-2.42695003958963,deficit,2.42695003958963,-13.4,-12.94,-13.17,0.4600000000000008,9.630725,13.694505483079162
2026-03-18 10:45:00,14.701,2.203027167863066,surplus,2.203027167863066,-15.01,-14.72,-14.865,0.2899999999999991,9.630725,-13.571046652710663
2026-03-18 11:00:00,5.016,2.412207318502736,surplus,2.412207318502736,3.02,13.02,8.02,10.0,4.752775,-1.0449531340796445
2026-03-18 11:15:00,1.889,3.8102484883302186,surplus,3.8102484883302186,2.62,7.38,5.0,4.76,4.752775,-2.0316006799246202
2026-03-18 11:30:00,7.0,7.4574301967484,surplus,5.0,2.02,,2.02,,4.752775,-3.4159687499999998
2026-03-18 11:45:00,12.168,7.27473015307996,surplus,5.0,6.73,13.39,10.06,6.66,4.752775,2.471531250000001
2026-03-18 12:00:00,5.916,11.28669852565772,surplus,5.0,15.12,18.07,16.595,2.950000000000001,8.088125,8.78984375
2026-03-18 12:15:00,10.523,11.414724416508868,surplus,5.0,,18.82,18.82,,8.088125,
2026-03-18 12:30:00,-2.548,5.887681022336914,surplus,5.0,8.23,18.12,13.175,9.89,8.088125,0.1773437500000008
2026-03-18 12:45:00,1.981,6.665934368123329,surplus,5.0,-6.99,-4.26,-5.625,2.7300000000000004,8.088125,-18.84765625
2026-03-18 13:00:00,3.534,6.837448645133392,surplus,5.0,0.3,2.98,1.64,2.68,6.916399999999999,-8.2705
2026-03-18 13:15:00,5.616,5.809631658226051,surplus,5.0,10.1,14.97,12.535,4.870000000000001,6.916399999999999,3.9795000000000003
2026-03-18 13:30:00,7.103,5.914727077472106,surplus,5.0,-3.97,-0.84,-2.405,3.1300000000000003,6.916399999999999,-13.608
2026-03-18 13:45:00,5.062,8.469192040602463,surplus,5.0,-1.0,2.13,0.565,3.13,6.916399999999999,-9.895499999999998
2026-03-18 14:00:00,0.317,5.4243399338423135,surplus,5.0,8.0,11.98,9.99,3.98,61.827,-67.28375
2026-03-18 15:00:00,-0.417,4.897576399301124,surplus,4.897576399301124,4.0,6.13,5.065,2.13,156.15875,-186.30227573678997
2026-03-18 15:15:00,-12.932,2.172538728393945,surplus,2.172538728393945,71.11,87.8,79.455,16.689999999999998,156.15875,-46.19292579412363
2026-03-18 15:30:00,-15.019,-2.2784270125062074,deficit,2.2784270125062074,128.59,139.75,134.17000000000002,11.159999999999997,156.15875,9.346534810365306
2026-03-18 16:30:00,-4.316,-2.2863992618459097,deficit,2.2863992618459097,138.21,140.49,139.35000000000002,2.280000000000001,149.7335,5.283582894218157
2026-03-18 16:45:00,-15.119,-2.8421259378623214,deficit,2.8421259378623214,145.01,147.88,146.445,2.8700000000000045,149.7335,1.316970106456951
2026-03-18 17:00:00,-3.162,3.3093668514873418,surplus,3.3093668514873418,129.64,136.23,132.935,6.590000000000003,141.5317,-9.838499446958018
2026-03-18 18:30:00,-4.648,-3.417507618980423,deficit,3.417507618980423,173.79,173.82,173.805,0.0300000000000011,157.61950000000002,-13.841333045323065
2026-03-18 18:45:00,-3.462,-2.4180340026144744,deficit,2.4180340026144744,184.4,184.9,184.65,0.5,157.61950000000002,-16.491294152081036
2026-03-18 19:15:00,-6.827,-3.347745903517464,deficit,3.347745903517464,183.71,199.99,191.85,16.28,210.18915,8.536040657965039
2026-03-18 19:30:00,-3.287,-4.703097886027344,deficit,4.703097886027344,166.46,174.73,170.595,8.269999999999982,210.18915,41.691963351331644
2026-03-18 19:45:00,-2.429,-5.1901174704494935,deficit,5.0,151.69,156.0,153.845,4.310000000000002,210.18915,67.73643750000002
2026-03-18 20:00:00,2.426,-4.528292052870405,deficit,4.528292052870405,157.9,158.28,158.09,0.3799999999999954,138.67425,-22.195140478890988
2026-03-18 20:15:00,-3.078,-3.953199694291226,deficit,3.953199694291226,159.8,160.71,160.255,0.9099999999999966,138.67425,-21.777930040869478
2026-03-18 20:30:00,0.852,-5.23573615902993,deficit,5.0,148.5,148.97,148.735,0.4699999999999988,138.67425,-12.869687499999998
2026-03-18 20:45:00,7.493,-5.476257836969654,deficit,5.0,140.9,142.06,141.48000000000002,1.1599999999999966,138.67425,-4.232187500000002
2026-03-18 21:00:00,2.684,-6.492712252097218,deficit,5.0,155.6,157.3,156.45,1.700000000000017,142.359775,-18.675281249999998
2026-03-18 21:15:00,-0.27,-5.100102778040972,deficit,5.0,146.01,146.09,146.05,0.0800000000000125,142.359775,-4.662781249999988
2026-03-18 21:30:00,-2.94,-3.47234462598757,deficit,3.47234462598757,136.07,137.53,136.8,1.460000000000008,142.359775,4.192660816494789
2026-03-18 23:00:00,-0.795,-2.809386105476188,deficit,2.809386105476188,113.3,113.9,113.6,0.6000000000000085,113.098825,-0.5627024782637217
2026-03-19 00:00:00,9.453,-2.2487861851551827,deficit,2.2487861851551827,115.8,116.95,116.375,1.1500000000000057,93.29925,-13.296369967139736
2026-03-19 00:15:00,7.441,-2.2295123087804463,deficit,2.2295123087804463,111.81,112.23,112.02,0.4200000000000017,93.29925,-10.55158503486136
2026-03-19 01:45:00,3.735,3.2016586280303425,surplus,3.2016586280303425,115.64,116.88,116.26,1.2399999999999949,101.4745,11.33827382384095
2026-03-19 04:30:00,-1.445,2.0732328081200952,surplus,2.0732328081200952,131.23,132.45,131.83999999999995,1.2199999999999989,137.0155,-2.9986721028447096
2026-03-19 04:45:00,-0.457,2.5866513754110523,surplus,2.5866513754110523,133.03,133.5,133.265,0.4699999999999988,137.0155,-2.5772747641751885
2026-03-19 07:00:00,-0.441,-2.437701903495386,deficit,2.437701903495386,198.52,199.52,199.02,1.0,181.36835,-11.062077939145517
2026-03-19 08:00:00,0.241,-3.1183303520905,deficit,3.1183303520905,191.48,192.02,191.75,0.5400000000000205,109.82145,-64.08055834070716
2026-03-19 09:00:00,3.485,-2.585204241240957,deficit,2.585204241240957,,258.23,258.23,,41.865750000000006,-139.8364441882297
2026-03-19 10:45:00,-7.246,3.5827804707883057,surplus,3.5827804707883057,84.81,96.82,90.815,12.009999999999993,158.622775,-66.1137421911728
2026-03-19 11:00:00,-0.588,-2.8692945737746065,deficit,2.8692945737746065,122.72,133.7,128.20999999999998,10.97999999999999,126.5975,-5.09479117755853
2026-03-19 11:45:00,-0.783,-5.653464008230126,deficit,5.0,134.53,,134.53,,126.5975,
2026-03-19 12:00:00,12.664,-6.542744697693477,deficit,5.0,127.93,140.1,134.015,12.169999999999987,4.3425,-169.69687499999998
2026-03-19 12:15:00,5.534,-10.775666548569074,deficit,5.0,147.09,147.53,147.31,0.4399999999999977,4.3425,-178.984375
2026-03-19 12:30:00,7.726,-5.373247611833218,deficit,5.0,230.05,300.0,265.025,69.94999999999999,4.3425,-369.57187500000003
2026-03-19 12:45:00,2.93,-5.426092202805848,deficit,5.0,210.56,,210.56,,4.3425,
2026-03-19 13:00:00,7.709,-7.555621152087844,deficit,5.0,172.55,201.0,186.775,28.44999999999999,45.43425,-194.4571875
2026-03-19 13:15:00,14.347,-8.216101540696046,deficit,5.0,167.31,175.45,171.38,8.139999999999986,45.43425,-162.5196875
2026-03-19 13:30:00,2.264,-3.614302295226399,deficit,3.614302295226399,138.87,162.82,150.845,23.94999999999999,45.43425,-106.06689641296806
2026-03-19 14:15:00,-2.152,-3.946836922185321,deficit,3.946836922185321,131.03,139.98,135.505,8.949999999999989,190.081375,49.43548917556316
2026-03-19 14:30:00,-3.327,-2.9164182361408537,deficit,2.9164182361408537,153.71,166.96,160.335,13.25,190.081375,16.85789992366281
2026-03-19 14:45:00,-22.222,-4.617048197307161,deficit,4.617048197307161,,181.76,181.76,,190.081375,9.60504736071674
2026-03-19 15:00:00,-10.531,-3.359420124346159,deficit,3.359420124346159,136.73,151.88,144.305,15.150000000000006,170.8369,15.921047838804443
2026-03-19 15:15:00,-11.822,-8.4123889812866,deficit,5.0,149.55,158.72,154.135,9.169999999999987,170.8369,15.14612500000002
2026-03-19 15:30:00,-8.106,-8.441525118856555,deficit,5.0,123.15,155.99,139.57,32.84,170.8369,18.558625000000006
2026-03-19 15:45:00,4.127,-7.894123503712928,deficit,5.0,,139.99,139.99,,170.8369,38.558625000000006
2026-03-19 16:00:00,12.124,-3.848742163042475,deficit,3.848742163042475,126.02,144.47,135.245,18.450000000000003,134.389675,-9.699142961167773
2026-03-19 16:15:00,-2.011,-8.226225562294708,deficit,5.0,141.25,141.46,141.35500000000002,0.2100000000000079,134.389675,-8.837906249999996
2026-03-19 16:30:00,1.349,-13.880394523634996,deficit,5.0,155.38,156.5,155.94,1.1200000000000043,134.389675,-27.637906249999986
2026-03-19 16:45:00,-7.344,-12.488739996750756,deficit,5.0,158.6,159.53,159.065,0.9300000000000068,134.389675,-31.425406249999988
2026-03-19 17:00:00,-5.666,-7.577583819490422,deficit,5.0,158.81,160.83,159.82,2.0200000000000102,162.241975,1.76496874999998
2026-03-19 17:15:00,1.533,-3.977571662864875,deficit,3.977571662864875,183.81,183.82,183.815,0.0099999999999909,162.241975,-21.45703519514746
2026-03-19 17:30:00,12.02,-2.883288939345932,deficit,2.883288939345932,182.29,183.56,182.925,1.2700000000000102,162.241975,-15.36650642280002
2026-03-19 18:00:00,13.879,-2.3663308402493595,deficit,2.3663308402493595,184.45,185.67,185.06,1.2199999999999989,162.398,-13.767312828570768
2026-03-19 18:30:00,9.801,-6.237368437758252,deficit,5.0,232.1,234.02,233.06,1.920000000000016,162.398,-89.52750000000002
2026-03-19 18:45:00,11.359,-2.653486121700356,deficit,2.653486121700356,214.0,214.92,214.46,0.9199999999999876,162.398,-34.84159952098652
2026-03-19 19:00:00,-0.817,-3.66744724420766,deficit,3.66744724420766,242.3,244.27,243.28500000000005,1.9699999999999989,212.34415,-29.271592650371776
2026-03-19 19:15:00,2.528,-4.978193180048276,deficit,4.978193180048276,219.49,221.94,220.715,2.4499999999999886,212.34415,-11.942498756691542
2026-03-19 19:30:00,-3.404,-3.368337789528645,deficit,3.368337789528645,201.07,203.39,202.23,2.319999999999993,212.34415,7.5401504545270015
2026-03-19 19:45:00,-3.663,-2.4910539862571635,deficit,2.4910539862571635,188.25,199.68,193.965,11.430000000000009,212.34415,7.886770335014668
2026-03-19 20:45:00,-4.048,2.6730909011463657,surplus,2.6730909011463657,164.04,165.83,164.935,1.7900000000000205,184.809875,-13.879940970111852
2026-03-20 02:00:00,0.183,-2.2609080057591013,deficit,2.2609080057591013,129.83,134.79,132.31,4.95999999999998,78.9645,-31.554079968876174
2026-03-20 02:15:00,1.934,-2.3845319034186483,deficit,2.3845319034186483,139.04,139.64,139.33999999999995,0.5999999999999943,78.9645,-36.17066637646954
2026-03-20 04:00:00,0.987,3.402201960169754,surplus,3.402201960169754,128.2,133.91,131.055,5.710000000000008,90.0255,32.46933968212507
2026-03-20 04:15:00,5.324,4.44078539157913,surplus,4.44078539157913,142.97,146.9,144.935,3.930000000000007,90.0255,58.77879054111532
2026-03-20 04:30:00,9.54,3.865283186568739,surplus,3.865283186568739,133.01,139.87,136.44,6.860000000000014,90.0255,41.536816283265985
2026-03-20 04:45:00,1.694,3.645947047884567,surplus,3.645947047884567,155.06,164.37,159.715,9.310000000000002,90.0255,59.278085821412226
2026-03-20 05:00:00,2.967,5.347963810582641,surplus,5.0,140.77,145.67,143.22,4.899999999999977,114.452,32.897500000000015
2026-03-20 05:15:00,-0.3,5.599882532649478,surplus,5.0,194.49,206.02,200.255,11.53,114.452,100.04750000000001
2026-03-20 05:30:00,0.45,4.647308158088313,surplus,4.647308158088313,160.01,162.49,161.25,2.480000000000018,114.452,52.93051626654683
2026-03-20 05:45:00,9.744,6.333612578781454,surplus,5.0,155.34,157.28,156.31,1.9399999999999975,114.452,51.11000000000001
2026-03-20 06:00:00,-4.874,2.9651788805242854,surplus,2.9651788805242854,158.0,158.65,158.325,0.6500000000000057,229.472725,-52.98235367588002
2026-03-20 08:30:00,-9.139,-2.4248915784695138,deficit,2.4248915784695138,229.38,,229.38,,204.368875,
