datetime,limit_price,filled,entry_bid,entry_ask,entry_spread,n_snapshots,fallback_price,target,pred_median,direction,size,imb_settlement_price,pnl_limit,pnl_fallback
2026-03-05 17:00:00,129.4,True,128.85,129.4,0.5500000000000114,55,131.41,-9.399,6.186283082806012,surplus,5.0,159.02835,-37.03543749999998,-34.52293749999999
2026-03-05 17:15:00,148.26,False,145.8,148.26,2.4599999999999795,55,140.71,8.124,3.043649872345671,surplus,3.043649872345671,159.02835,-8.193771775718375,-13.938660909770817
2026-03-05 20:00:00,139.87,True,139.87,146.19,6.319999999999993,54,135.46,3.245,-3.139539657725557,deficit,3.139539657725557,76.94725,-49.38711724953771,-45.92577477689528
2026-03-06 03:45:00,123.39,False,,124.39,,55,128.73,-3.128,-3.875364090407498,deficit,3.875364090407498,126.24595,2.7669615184998166,-2.4066495421941827
2026-03-06 05:00:00,115.64,True,115.64,116.72,1.0799999999999983,55,118.45,0.417,-3.040706137444136,deficit,3.040706137444136,115.47575,-0.12485899576879647,-2.260955057323304
2026-03-06 05:15:00,119.01,False,119.01,119.61,0.5999999999999943,55,120.78,7.148,-5.38672719216182,deficit,5.0,115.47575,-4.4178125,-6.630312499999995
2026-03-06 05:30:00,131.08,True,131.08,132.5,1.4199999999999875,55,134.99,1.486,-5.193770958761917,deficit,5.0,115.47575,-19.50531250000001,-24.392812500000005
2026-03-06 05:45:00,141.3,True,141.3,142.68,1.3799999999999955,55,136.59,1.7,-5.592266227993762,deficit,5.0,115.47575,-32.28031250000001,-26.392812499999998
2026-03-06 06:15:00,146.31,True,146.31,146.69,0.37999999999999545,55,157.55,-10.487,-3.0826423634442346,deficit,3.0826423634442346,169.246775,17.67646857394717,9.01424353266886
2026-03-06 06:30:00,153.31,True,153.31,154.9,1.5900000000000034,55,160.69,0.19,-3.6147373604140016,deficit,3.6147373604140016,169.246775,14.401813999252973,7.732623569289144
2026-03-06 06:45:00,168.34,False,168.34,169.9,1.5600000000000023,55,172.2,-2.52,-3.3293180422926847,deficit,3.3293180422926847,169.246775,0.7547355919499958,-2.4580563188624325
2026-03-06 07:00:00,192.45,False,192.45,194.54,2.0900000000000034,55,205.6,-7.923,-3.723999906342473,deficit,3.723999906342473,197.647525,4.838895653303178,-7.403754038797708
2026-03-06 08:00:00,134.59,True,134.59,139.99,5.400000000000006,50,137.76,1.339,-4.190862692055783,deficit,4.190862692055783,56.5715,-81.74120523503854,-85.06246391849274
2026-03-06 09:00:00,123.34,True,123.34,129.24,5.900000000000006,51,124.8,-7.342,-4.037402589116858,deficit,4.037402589116858,124.16825,0.8359946736090064,-0.6376572714186404
2026-03-06 10:30:00,-10.0,True,-27.96,-10.0,17.96,53,-4.99,-4.978,3.862650599373751,surplus,3.862650599373751,37.541675,-45.90921985849552,-41.0712499827799
2026-03-06 10:45:00,-15.24,True,-21.95,-15.24,6.709999999999999,40,,-2.627,4.2393592900925,surplus,4.2393592900925,37.541675,-55.94012106447326,
2026-03-06 11:00:00,37.24,False,0.0,37.24,37.24,34,-4.64,-4.316,7.343879917018548,surplus,5.0,75.49325,-47.8165625,-100.1665625
2026-03-06 11:15:00,17.8,True,,17.8,,48,3.24,-7.912,6.719788367389342,surplus,5.0,75.49325,-72.11656250000001,-90.3165625
2026-03-06 11:30:00,9.09,True,0.77,9.09,8.32,41,11.45,-4.435,6.010051989807342,surplus,5.0,75.49325,-83.0040625,-80.0540625
2026-03-06 11:45:00,16.7,True,,16.7,,53,12.8,-3.456,7.0891990501831526,surplus,5.0,75.49325,-73.4915625,-78.36656250000001
2026-03-06 12:30:00,-7.050000000000001,True,-8.05,,,38,-7.23,2.892,4.439900746909628,surplus,4.439900746909628,1.975725,-10.018330792225226,-10.21812632583616
2026-03-06 13:00:00,-20.88,True,-26.49,-20.88,5.609999999999999,49,-11.86,4.938,5.017695750785323,surplus,5.0,-14.2315,-8.310624999999998,2.9643750000000013
