tradeday,hour,ttd_bucket,avg_bid,avg_ask,n_snapshots,mid_price,spread,da_price,idm_da_diff,idm_da_pct
2025-04-10,18,6.0,110.03971428571428,129.25706896551725,256,119.64839162561577,19.217354679802966,117.33,2.3183916256157744,1.975958088822786
2025-04-10,18,3.0,104.21340206185567,122.76481132075472,203,113.4891066913052,18.551409258899042,117.33,-3.8408933086948025,-3.2735816148425827
2025-04-10,18,1.0,90.13461538461539,114.60533333333333,28,102.36997435897436,24.470717948717947,117.33,-14.960025641025638,-12.750384079967302
2025-04-10,18,0.5,82.05,,1,82.05,,117.33,-35.28,-30.069036052160573
2025-04-10,19,24.0,169.8761224489796,207.35,50,188.6130612244898,37.473877551020394,166.23,22.383061224489808,13.4651153368765
2025-04-10,19,12.0,182.8319718309859,238.265625,103,210.54879841549297,55.43365316901409,166.23,44.31879841549298,26.66113121307404
2025-04-10,19,6.0,169.62285714285713,236.03375,30,202.82830357142856,66.41089285714287,166.23,36.59830357142857,22.016665807272197
2025-04-10,19,3.0,141.96583333333334,188.12058823529412,29,165.04321078431371,46.154754901960786,166.23,-1.1867892156862752,-0.7139440628564491
2025-04-10,19,1.0,133.37555555555556,160.225,24,146.80027777777778,26.84944444444443,166.23,-19.42972222222221,-11.688457090911514
2025-04-10,19,0.5,154.15,164.75333333333333,6,159.45166666666665,10.603333333333325,166.23,-6.778333333333336,-4.077683530850831
2025-04-10,20,24.0,176.3152,222.306875,66,199.3110375,45.99167499999999,177.79,21.521037500000006,12.104751392091798
2025-04-10,20,12.0,160.0,221.6235294117647,18,190.81176470588235,61.62352941176471,177.79,13.021764705882362,7.324239105620317
2025-04-10,20,6.0,148.505,221.49057142857143,37,184.99778571428573,72.98557142857143,177.79,7.207785714285734,4.054100744859516
2025-04-10,20,3.0,135.03142857142856,205.62820512820514,46,170.32981684981684,70.59677655677658,177.79,-7.4601831501831555,-4.196064542540726
2025-04-10,20,1.0,144.3825,178.955,10,161.66875,34.57250000000002,177.79,-16.121250000000003,-9.06757972889364
2025-04-10,20,0.5,140.01,,2,140.01,,177.79,-37.78,-21.24978907700096
2025-04-10,21,24.0,133.21050505050505,5788.383230769231,164,2960.796867909868,5655.172725718726,154.21,2806.586867909868,1819.9772180207951
2025-04-10,21,12.0,157.005,442.66333333333336,5,299.83416666666665,285.65833333333336,154.21,145.62416666666664,94.43237576464992
2025-04-10,21,6.0,-243.2642857142857,148.38222222222223,16,-47.44103174603174,391.64650793650793,154.21,-201.65103174603175,-130.7639139783618
2025-04-10,21,3.0,63.34,217.48000000000002,7,140.41000000000003,154.14000000000001,154.21,-13.799999999999983,-8.94883600285324
2025-04-10,21,1.0,107.18,259.964,11,183.572,152.784,154.21,29.361999999999995,19.040269762012834
2025-04-10,21,0.5,100.01,197.96,4,148.985,97.95,154.21,-5.224999999999994,-3.388236819920883
2025-04-10,22,24.0,112.96088235294118,166.75,72,139.8554411764706,53.789117647058816,133.17,6.6854411764706185,5.020230664917488
2025-04-10,22,12.0,130.005,133.995,4,132.0,3.990000000000009,133.17,-1.1699999999999875,-0.8785762559134846
2025-04-10,22,6.0,122.85117647058823,182.02659574468086,98,152.43888610763454,59.17541927409263,133.17,19.268886107634557,14.46938958296505
2025-04-10,22,3.0,105.7357142857143,183.44833333333332,13,144.59202380952382,77.71261904761903,133.17,11.422023809523836,8.577024712415588
2025-04-10,22,1.0,126.4475,191.12,11,158.78375,64.6725,133.17,25.61375000000001,19.233873995644675
2025-04-10,22,0.5,114.50500000000001,161.00500000000002,4,137.75500000000002,46.500000000000014,133.17,4.585000000000036,3.4429676353533356
2025-04-10,23,24.0,74.76384,110.84722772277227,226,92.80553386138614,36.08338772277227,84.46,8.345533861386144,9.881048853168535
2025-04-10,23,12.0,89.42067961165048,93.90061538461538,168,91.66064749813293,4.479935772964893,84.46,7.200647498132938,8.525512074512122
2025-04-10,23,6.0,82.35190476190476,121.32695652173913,67,101.83943064182195,38.97505175983437,84.46,17.379430641821955,20.577114186386403
2025-04-10,23,3.0,77.64285714285714,103.33,10,90.48642857142858,25.68714285714286,84.46,6.026428571428582,7.135245762998559
2025-04-10,23,1.0,63.08428571428571,80.736,12,71.91014285714286,17.65171428571429,84.46,-12.549857142857135,-14.858935759953987
2025-04-10,23,0.5,56.0,,1,56.0,,84.46,-28.459999999999994,-33.6964243428842
2025-04-11,0,6.0,76.59777777777778,96.91642857142857,46,86.75710317460317,20.31865079365079,76.75,10.007103174603174,13.03857091153508
2025-04-11,0,3.0,,176.54500000000002,4,176.54500000000002,,76.75,99.79500000000002,130.02605863192184
2025-04-11,0,1.0,84.15441176470588,112.2995238095238,76,98.22696778711484,28.14511204481792,76.75,21.476967787114845,27.983019918064944
2025-04-11,1,12.0,71.39375,91.5376,33,81.465675,20.14385,72.87,8.595675,11.795903664059283
2025-04-11,1,6.0,73.9475,113.79333333333334,11,93.87041666666667,39.84583333333333,72.87,21.000416666666666,28.819015598554504
2025-04-11,1,3.0,86.31263157894736,94.54125,78,90.42694078947369,8.228618421052644,72.87,17.556940789473686,24.093510072009998
2025-04-11,1,1.0,89.05447058823529,96.384625,165,92.71954779411764,7.33015441176471,72.87,19.84954779411764,27.239670363822754
2025-04-11,2,12.0,62.691538461538464,87.8288888888889,31,75.26021367521368,25.137350427350434,65.76,9.500213675213672,14.446796951358989
2025-04-11,2,3.0,82.12162162162161,190.21823529411765,54,136.16992845786962,108.09661367249603,65.76,70.40992845786961,107.0710590904343
