X,A,Y,rule,total_rev,rev_per_mwh,n_curtailed,pct_curtailed
-5,70.0,-14.0,combined,60794.914452720855,22.200889005521788,8586,85.89435774309723
-5,70.0,-12.0,combined,64375.693987058155,23.508506422384663,8496,84.99399759903962
-5,70.0,-10.0,combined,70358.91208359663,25.6934385347636,8396,83.99359743897558
-5,70.0,-8.0,combined,76018.96011531082,27.760356454612488,8274,82.77310924369748
-5,70.0,-6.0,combined,81406.66013568302,29.727819214023896,8119,81.22248899559824
-5,75.0,-20.0,combined,50207.5070159355,18.334614013999236,8840,88.43537414965986
-5,75.0,-18.0,combined,52043.23768778669,19.004980166442703,8795,87.98519407763106
-5,75.0,-16.0,combined,54508.284598326354,19.905157974848947,8734,87.374949979992
-5,75.0,-14.0,combined,58148.363854989235,21.234430271322392,8654,86.57462985194077
-5,75.0,-12.0,combined,62156.98338097912,22.698284903950896,8555,85.5842336934774
-5,75.0,-10.0,combined,68424.06983771484,24.98687914026981,8448,84.51380552220888
-5,75.0,-8.0,combined,74540.31946378428,27.220391273657718,8314,83.17326930772309
-5,75.0,-6.0,combined,80816.26393267406,29.51222025002705,8135,81.38255302120848
-5,80.0,-20.0,combined,46914.448701205896,17.13206569573689,8919,89.22569027611044
-5,80.0,-18.0,combined,48843.55669842375,17.83653107596544,8872,88.75550220088036
-5,80.0,-16.0,combined,51555.031427409,18.826698593123357,8805,88.08523409363745
-5,80.0,-14.0,combined,55281.00851990204,20.187338781734606,8723,87.26490596238496
-5,80.0,-12.0,combined,59840.652233717694,21.852414633989813,8612,86.15446178471389
-5,80.0,-10.0,combined,66683.45802933126,24.35124818482737,8492,84.95398159263705
-5,80.0,-8.0,combined,73547.3613482441,26.85778606056241,8341,83.44337735094037
-5,80.0,-6.0,combined,80605.26824645713,29.43516953201035,8142,81.45258103241297
-5,85.0,-20.0,combined,44110.43738047783,16.108105967162516,8981,89.84593837535014
-5,85.0,-18.0,combined,46243.63867436704,16.887101473257026,8930,89.33573429371748
-5,85.0,-16.0,combined,49117.978775344396,17.936743636920976,8860,88.63545418167267
-5,85.0,-14.0,combined,53204.23293581196,19.4289486327096,8771,87.74509803921569
-5,85.0,-12.0,combined,58135.58544572551,21.229763893414226,8653,86.56462585034014
-5,85.0,-10.0,combined,65222.027560695766,23.817567762450985,8528,85.31412565026011
-5,85.0,-8.0,combined,72658.39529864155,26.5331563316687,8364,83.6734693877551
-5,85.0,-6.0,combined,80274.33032197857,29.314318697771906,8151,81.54261704681873
-5,90.0,-20.0,combined,40964.721660997515,14.959363738313439,9058,90.61624649859944
-5,90.0,-18.0,combined,43175.986441711764,15.7668662144726,9006,90.09603841536614
-5,90.0,-16.0,combined,46300.995903980576,16.90804699970077,8932,89.35574229691878
-5,90.0,-14.0,combined,50573.902409983624,18.46841309158035,8839,88.42537014805923
-5,90.0,-12.0,combined,55712.7785204949,20.345011145375004,8716,87.19487795118047
-5,90.0,-10.0,combined,63236.79205302858,23.092605920621015,8581,85.84433773509403
-5,90.0,-8.0,combined,71243.78116949204,26.016572147784125,8404,84.0736294517807
-5,90.0,-6.0,combined,79738.0935006582,29.11849748052082,8164,81.67266906762704
-5,95.0,-20.0,combined,37311.78365938941,13.625395727209106,9145,91.48659463785515
-5,95.0,-18.0,combined,39692.55712581592,14.494798833558255,9091,90.94637855142057
-5,95.0,-16.0,combined,42874.64730890168,15.65682417064771,9016,90.19607843137256
-5,95.0,-14.0,combined,47406.50225508463,17.311752211176103,8918,89.2156862745098
-5,95.0,-12.0,combined,53098.93398595576,19.39049590489182,8783,87.86514605842338
-5,95.0,-10.0,combined,61193.735147924606,22.346529049052226,8635,86.38455382152861
-5,95.0,-8.0,combined,69960.24669281549,25.54785520479678,8441,84.4437775110044
-5,95.0,-6.0,combined,79518.26864018002,29.038222553381548,8172,81.75270108043217
-5,100.0,-20.0,combined,32841.62927068754,11.992999295459956,9243,92.46698679471788
-5,100.0,-18.0,combined,35358.678456348716,12.912167125456003,9187,91.90676270508203
-5,100.0,-16.0,combined,39263.51171996653,14.338121428559209,9106,91.09643857543017
-5,100.0,-14.0,combined,43962.59746381745,16.054118267534857,9004,90.07603041216487
-5,100.0,-12.0,combined,50132.973247153364,18.307396014882183,8861,88.6454581832733
-5,100.0,-10.0,combined,58890.25731637844,21.505352511093502,8696,86.99479791916767
-5,100.0,-8.0,combined,68176.2241672073,24.896371664916487,8488,84.9139655862345
-5,100.0,-6.0,combined,79034.54028469253,28.861576206796865,8187,81.90276110444178
-4,,,rule1_only,94441.45744258742,34.487824073395934,7715,77.18087234893957
-4,0.0,-20.0,combined,88820.41119426512,32.43514869787655,7902,79.0516206482593
-4,0.0,-18.0,combined,89072.25273250681,32.52711537120465,7894,78.97158863545418
-4,0.0,-16.0,combined,89658.20498731182,32.74109150865901,7880,78.83153261304521
-4,0.0,-14.0,combined,90395.63516225267,33.01038386001047,7862,78.65146058423369
-4,0.0,-12.0,combined,91037.72962389741,33.24486182584627,7842,78.45138055222088
-4,0.0,-10.0,combined,91481.56229401387,33.406939195885876,7828,78.31132452981193
-4,0.0,-8.0,combined,92401.05425412861,33.74271627743523,7797,78.00120048019208
-4,0.0,-6.0,combined,93486.9101591916,34.13924560297678,7755,77.58103241296519
-4,5.0,-20.0,combined,82117.7336157304,29.98748671331084,8000,80.03201280512204
