X,A,Y,F,rule,total_rev,rev_per_mwh,n_curtailed,pct_curtailed
11,10.0,-4.0,,rule12,153787.0342303258,56.15944866722386,3859,38.605442176870746
11,10.0,-1.0,,rule12,154259.36982263028,56.33193464162661,3720,37.21488595438176
11,10.0,2.0,,rule12,154392.32918371155,56.38048830839599,3579,35.80432172869148
11,10.0,5.0,,rule12,154902.45555824335,56.5667745976641,3416,34.173669467787114
11,10.0,8.0,,rule12,154662.74134401145,56.47923654105006,3257,32.58303321328531
11,15.0,-10.0,,rule12,148272.8204014068,54.145786006940845,4155,41.56662665066027
11,15.0,-7.0,,rule12,150332.4034166179,54.89789782961507,4057,40.58623449379752
11,15.0,-4.0,,rule12,152884.89568460884,55.83000864906838,3929,39.30572228891557
11,15.0,-1.0,,rule12,153635.06906436326,56.10395452248147,3778,37.79511804721889
11,15.0,2.0,,rule12,154124.87603758893,56.2828206389092,3617,36.184473789515806
11,15.0,5.0,,rule12,154750.87046606975,56.51141924703103,3443,34.443777511004406
11,15.0,8.0,,rule12,154655.07753668947,56.47643789683373,3267,32.683073229291715
11,20.0,-10.0,,rule12,146924.98759303777,53.65358880844208,4253,42.54701880752301
11,20.0,-7.0,,rule12,149222.0983306466,54.49244023175819,4144,41.45658263305322
11,20.0,-4.0,,rule12,152220.34706530307,55.58733094701398,3998,39.99599839935974
11,20.0,-1.0,,rule12,153268.9542694011,55.970257913161376,3835,38.36534613845538
11,20.0,2.0,,rule12,153824.18706607982,56.173016018872275,3662,36.63465386154462
11,20.0,5.0,,rule12,154564.41807956362,56.44333117132765,3470,34.71388555422169
11,20.0,8.0,,rule12,154577.82612593385,56.44822747806524,3278,32.79311724689876
11,25.0,-10.0,,rule12,145864.00764727406,53.26614360475974,4343,43.44737895158063
11,25.0,-7.0,,rule12,148355.52624373324,54.175988257279165,4224,42.25690276110444
11,25.0,-4.0,,rule12,151517.4905169567,55.33066408010397,4070,40.71628651460584
11,25.0,-1.0,,rule12,152741.28723304824,55.777566182094745,3891,38.92557022809124
11,25.0,2.0,,rule12,153501.02797295008,56.05500583294993,3703,37.04481792717087
