datetime,date,hour,year,month,day_of_week,is_weekend,quarter,price_eur_mwh,demand_mw,supply_mw,net_flow_cz,net_flow_pl,net_flow_hu,net_import,price_lag24,price_change_24h,price_change_24h_pct,price_lag168,price_change_7d,price_daily_mean,price_daily_std,price_daily_range,yesterday_mean_price,yesterday_std_price,yesterday_range_price,price_momentum_6h,net_import_lag24,net_import_change_24h
2024-06-13 17:00:00,2024-06-13,17,2024,6,3,0,2,99.58,1003.1,950.6,757.7,-161.5,-543.7,52.5,94.44,5.140000000000001,5.442609063955952,99.93,-0.3500000000000085,98.42708333333333,29.592510726925514,100.25,90.39166666666665,26.91028648752349,97.72,33.17,-14.299999999999955,66.79999999999995
2024-06-13 18:00:00,2024-06-13,18,2024,6,3,0,2,124.82,992.1,1105.9,703.3,-408.1,-409.0,-113.80000000000007,122.61,2.2099999999999937,1.8024630943642392,115.69,9.129999999999995,98.51916666666666,29.674357971395207,100.25,91.50791666666667,27.689592139689037,97.72,67.11999999999999,-47.40000000000009,-66.39999999999998
2024-06-13 19:00:00,2024-06-13,19,2024,6,3,0,2,152.75,1011.0,1183.7,613.0,10.9,-796.6,-172.70000000000005,144.61,8.139999999999986,5.628932992185869,167.97,-15.219999999999999,98.85833333333333,30.264709347424294,102.06,92.47458333333333,29.14557226110935,97.72,101.25999999999999,-142.20000000000005,-30.5
2024-06-13 20:00:00,2024-06-13,20,2024,6,3,0,2,196.18,1066.0,1225.1,559.6,66.3,-785.0,-159.10000000000002,150.94,45.24000000000001,29.972174373923423,185.87,10.310000000000002,100.74333333333333,34.72916324517709,145.49,92.65833333333335,29.51277345661468,102.13,145.49,-228.70000000000005,69.60000000000002
2024-06-13 21:00:00,2024-06-13,21,2024,6,3,0,2,164.02,1003.3,1269.6,567.6,74.2,-908.1,-266.29999999999995,147.49,16.53,11.207539494202996,171.14,-7.119999999999976,101.43208333333332,35.842615269872155,145.49,93.68374999999999,30.998607516061007,102.13,87.94000000000001,-323.5999999999999,57.299999999999955
2024-06-13 22:00:00,2024-06-13,22,2024,6,3,0,2,106.38,927.3,1115.5,560.3,-80.2,-668.3,-188.2,133.44,-27.060000000000002,-20.27877697841727,135.78,-29.400000000000006,100.30458333333333,35.212032031946904,145.49,94.37624999999998,31.71529487178638,102.13,12.069999999999993,-437.29999999999995,249.09999999999997
2024-06-13 23:00:00,2024-06-13,23,2024,6,3,0,2,85.67,882.7,1172.3,662.9,178.5,-1131.0,-289.6,105.91,-20.239999999999995,-19.11056557454442,111.6,-25.929999999999993,99.46125,35.31417184576453,145.49,94.94,31.798409312143598,102.13,-13.909999999999997,-336.10000000000014,46.500000000000114
2024-06-14 00:00:00,2024-06-14,0,2024,6,4,0,2,78.86,871.4,820.3,740.8,498.6,-1188.3,51.100000000000136,99.42,-20.560000000000002,-20.67994367330517,104.62,-25.760000000000005,98.60458333333334,35.56371110619561,145.49,95.37916666666666,31.783856432317286,102.13,-45.959999999999994,-245.29999999999995,296.4000000000001
2024-06-14 01:00:00,2024-06-14,1,2024,6,4,0,2,67.24,863.1,794.8,687.6,419.5,-1038.8,68.29999999999995,91.65,-24.41000000000001,-26.63393344244409,95.33,-28.090000000000003,97.58749999999999,36.11601321947895,145.49,95.63541666666667,31.725482828294638,102.13,-85.51,-116.20000000000005,184.5
2024-06-14 02:00:00,2024-06-14,2,2024,6,4,0,2,60.31,858.1,794.6,796.1,262.9,-995.5,63.5,83.11,-22.799999999999997,-27.43352183852725,90.06,-29.75,96.63749999999999,36.8066519566896,145.49,95.82666666666667,31.631516158615696,102.13,-135.87,-107.69999999999993,171.19999999999993
2024-06-14 03:00:00,2024-06-14,3,2024,6,4,0,2,61.83,868.2,801.9,807.9,250.5,-992.1,66.30000000000007,82.02,-20.189999999999998,-24.61594732991953,85.0,-23.17,95.79624999999999,37.38151563825437,145.49,95.87875000000001,31.606665823154046,102.13,-102.19000000000001,-117.5,183.80000000000007
2024-06-14 04:00:00,2024-06-14,4,2024,6,4,0,2,57.5,877.4,791.3,739.0,370.3,-1023.2,86.09999999999991,81.72,-24.22,-29.637787567302986,81.37,-23.870000000000005,94.78708333333334,38.09810408145609,145.49,95.75083333333333,31.65966270751531,102.13,-48.879999999999995,-70.90000000000009,157.0
2024-06-14 05:00:00,2024-06-14,5,2024,6,4,0,2,67.64,909.1,753.1,865.1,337.0,-1046.1,156.0,97.27,-29.629999999999995,-30.461601727151226,99.37,-31.730000000000004,93.55250000000001,38.492193364369506,145.49,95.90541666666667,31.657557786984206,102.13,-18.03,-0.39999999999997726,156.39999999999998
2024-06-14 06:00:00,2024-06-14,6,2024,6,4,0,2,85.25,1062.9,731.6,742.5,449.3,-860.5,331.29999999999995,118.88,-33.629999999999995,-28.28903095558546,111.56,-26.310000000000002,92.15125,38.14061572569055,145.49,95.74125,31.521843401252024,102.13,6.390000000000001,-99.0,430.29999999999995
