datetime,de_forecast1_spot,sk_forecast1_spot,sk_forecast2_spot,sk_merged_spot,price_actual,de_forecast1_spot_error,sk_forecast1_spot_error,sk_forecast2_spot_error,sk_merged_spot_error,date,hour
2025-11-30 00:00:00,73.845974755,90.4776697475,90.4776697475,,95.845,-21.999025245,-5.367330252499997,-5.367330252499997,,2025-11-30,0
2025-11-30 01:00:00,69.432759095,86.02501515,86.02501515,,91.84,-22.40724090500001,-5.814984850000002,-5.814984850000002,,2025-11-30,1
2025-11-30 02:00:00,65.7296538975,88.7826120875,88.7826120875,,86.115,-20.385346102499994,2.667612087500004,2.667612087500004,,2025-11-30,2
2025-11-30 03:00:00,60.824375572499996,85.60760485,85.60760485,,84.5925,-23.768124427500005,1.0151048500000002,1.0151048500000002,,2025-11-30,3
2025-11-30 04:00:00,59.008944855,83.1207024325,83.1207024325,,83.6275,-24.618555144999995,-0.5067975675000014,-0.5067975675000014,,2025-11-30,4
2025-11-30 05:00:00,59.780248295,84.305305965,84.305305965,,89.395,-29.614751704999996,-5.089694034999994,-5.089694034999994,,2025-11-30,5
2025-11-30 06:00:00,63.14356126,84.848799885,84.848799885,,92.3775,-29.23393874,-7.528700114999992,-7.528700114999992,,2025-11-30,6
2025-11-30 07:00:00,72.9230780725,88.2764016625,88.2764016625,,93.26,-20.3369219275,-4.983598337499998,-4.983598337499998,,2025-11-30,7
2025-11-30 08:00:00,79.1016490925,94.186720955,94.186720955,,92.4375,-13.335850907500003,1.7492209549999984,1.7492209549999984,,2025-11-30,8
2025-11-30 09:00:00,79.7069814425,99.2793383775,99.2793383775,,94.145,-14.438018557500001,5.134338377500001,5.134338377500001,,2025-11-30,9
2025-11-30 10:00:00,78.748799515,101.1249415,101.1249415,,87.3425,-8.593700485,13.782441500000004,13.782441500000004,,2025-11-30,10
2025-11-30 11:00:00,79.0004230675,100.960898055,100.960898055,,87.33,-8.329576932500004,13.630898055000003,13.630898055000003,,2025-11-30,11
2025-11-30 12:00:00,81.86039532,101.0663668125,101.0663668125,,86.0125,-4.152104680000008,15.05386681249999,15.05386681249999,,2025-11-30,12
2025-11-30 13:00:00,82.44404077499999,100.160173895,100.160173895,,90.255,-7.810959225000005,9.905173895000004,9.905173895000004,,2025-11-30,13
2025-11-30 14:00:00,87.5755975725,112.551497375,112.551497375,,103.61,-16.034402427499998,8.941497374999997,8.941497374999997,,2025-11-30,14
2025-11-30 15:00:00,96.6588109975,123.63911715,123.63911715,,111.3975,-14.738689002499996,12.24161715000001,12.24161715000001,,2025-11-30,15
2025-11-30 16:00:00,105.689748725,149.4458998,149.4458998,,126.1725,-20.482751275,23.273399800000007,23.273399800000007,,2025-11-30,16
2025-11-30 17:00:00,111.795209975,136.238930875,136.238930875,,127.6825,-15.887290024999999,8.55643087499999,8.55643087499999,,2025-11-30,17
2025-11-30 18:00:00,105.05759195,135.927857025,135.927857025,,128.3375,-23.279908050000003,7.590357025000003,7.590357025000003,,2025-11-30,18
2025-11-30 19:00:00,104.15283120000001,135.754104525,135.754104525,,130.4125,-26.259668799999986,5.341604525000008,5.341604525000008,,2025-11-30,19
2025-11-30 20:00:00,102.23512095000001,128.0816748,128.0816748,,130.935,-28.699879049999993,-2.8533252000000005,-2.8533252000000005,,2025-11-30,20
2025-11-30 21:00:00,98.846657585,107.4735864,107.4735864,,120.73,-21.883342415,-13.256413600000002,-13.256413600000002,,2025-11-30,21
2025-11-30 22:00:00,94.2864672675,104.35006815,104.35006815,,113.13,-18.843532732499995,-8.779931849999997,-8.779931849999997,,2025-11-30,22
2025-11-30 23:00:00,87.04485127999999,95.344320625,95.344320625,,97.92,-10.875148720000013,-2.575679375000007,-2.575679375000007,,2025-11-30,23
2025-12-01 00:00:00,80.39957096,85.73973033,85.73973033,,99.155,-18.755429039999996,-13.41526967,-13.41526967,,2025-12-01,0
2025-12-01 01:00:00,76.1613055,85.10603828,85.10603828,,98.895,-22.7336945,-13.788961719999989,-13.788961719999989,,2025-12-01,1
2025-12-01 02:00:00,74.9917091675,85.72262904,85.72262904,,95.445,-20.453290832499988,-9.722370959999992,-9.722370959999992,,2025-12-01,2
2025-12-01 03:00:00,76.12759948749999,87.500171655,87.500171655,,91.57,-15.4424005125,-4.069828344999991,-4.069828344999991,,2025-12-01,3
2025-12-01 04:00:00,78.050562635,90.3611424325,90.3611424325,,95.15,-17.099437365,-4.788857567500003,-4.788857567500003,,2025-12-01,4
2025-12-01 05:00:00,83.51656049,102.18726216,102.18726216,,104.935,-21.41843951,-2.747737839999999,-2.747737839999999,,2025-12-01,5
2025-12-01 06:00:00,100.03254616000001,134.234804375,134.234804375,,149.945,-49.91245383999998,-15.710195624999983,-15.710195624999983,,2025-12-01,6
2025-12-01 07:00:00,114.7770544,185.924989125,185.924989125,,158.245,-43.46794560000001,27.67998912499999,27.67998912499999,,2025-12-01,7
2025-12-01 08:00:00,124.910985,205.08870322500002,205.08870322500002,,169.955,-45.044015000000016,35.133703225000005,35.133703225000005,,2025-12-01,8
2025-12-01 09:00:00,110.085524125,198.1119079,198.1119079,,167.615,-57.529475875,30.496907899999997,30.496907899999997,,2025-12-01,9
2025-12-01 10:00:00,104.4758972,179.3163429,179.3163429,,147.8,-43.324102800000006,31.516342899999984,31.516342899999984,,2025-12-01,10
2025-12-01 11:00:00,104.129432525,185.274242675,185.274242675,,141.8675,-37.73806747500001,43.406742675000004,43.406742675000004,,2025-12-01,11
2025-12-01 12:00:00,104.56527085,193.277054825,193.277054825,,161.385,-56.819729149999986,31.892054825000002,31.892054825000002,,2025-12-01,12
2025-12-01 13:00:00,105.077712975,201.702251225,201.702251225,,166.465,-61.387287025000006,35.237251224999994,35.237251224999994,,2025-12-01,13
2025-12-01 14:00:00,108.04252395,206.8692967,206.8692967,,188.605,-80.56247604999999,18.264296700000017,18.264296700000017,,2025-12-01,14
2025-12-01 15:00:00,118.8143166,210.69366300000002,210.69366300000002,,224.5125,-105.69818339999999,-13.818836999999974,-13.818836999999974,,2025-12-01,15
2025-12-01 16:00:00,145.340943875,238.71085435,238.71085435,,271.55,-126.20905612500002,-32.839145650000006,-32.839145650000006,,2025-12-01,16
2025-12-01 17:00:00,146.45238075,217.903921975,217.903921975,,232.335,-85.88261925,-14.431078025000005,-14.431078025000005,,2025-12-01,17
2025-12-01 18:00:00,122.94142005,192.80095864999998,192.80095864999998,,246.8575,-123.91607994999998,-54.05654135,-54.05654135,,2025-12-01,18
2025-12-01 19:00:00,106.330566175,173.719232525,173.719232525,,225.995,-119.664433825,-52.27576747500001,-52.27576747500001,,2025-12-01,19
2025-12-01 20:00:00,94.7823799775,142.465907575,142.465907575,,193.1175,-98.3351200225,-50.65159242500002,-50.65159242500002,,2025-12-01,20
2025-12-01 21:00:00,85.7535707575,122.709368275,122.709368275,,151.07,-65.31642924249999,-28.36063172499999,-28.36063172499999,,2025-12-01,21
2025-12-01 22:00:00,79.413323335,114.937121725,114.937121725,,132.5325,-53.119176665,-17.595378275,-17.595378275,,2025-12-01,22
2025-12-01 23:00:00,71.8048434175,103.7393262275,103.7393262275,,112.8,-40.9951565825,-9.060673772499996,-9.060673772499996,,2025-12-01,23
2025-12-02 00:00:00,65.67969259,100.94043556,100.94043556,,105.455,-39.775307409999996,-4.514564440000001,-4.514564440000001,,2025-12-02,0
2025-12-02 01:00:00,59.866718305,92.449294415,92.449294415,,105.0325,-45.165781695,-12.583205585000002,-12.583205585000002,,2025-12-02,1
2025-12-02 02:00:00,57.619830050000004,89.9284055675,89.9284055675,,99.42,-41.80016995,-9.491594432500008,-9.491594432500008,,2025-12-02,2
2025-12-02 03:00:00,55.60331522,91.005406695,91.005406695,,93.76,-38.156684780000006,-2.754593305,-2.754593305,,2025-12-02,3
2025-12-02 04:00:00,61.9326473025,94.829104665,94.829104665,,98.4,-36.467352697500004,-3.570895335000003,-3.570895335000003,,2025-12-02,4
2025-12-02 05:00:00,73.8755857075,104.709012,104.709012,,101.705,-27.829414292500005,3.004012000000003,3.004012000000003,,2025-12-02,5
2025-12-02 06:00:00,87.8026805525,139.286579975,139.286579975,,134.0,-46.19731944750001,5.286579974999995,5.286579974999995,,2025-12-02,6
2025-12-02 07:00:00,101.7907902475,189.670921325,189.670921325,,181.445,-79.6542097525,8.225921325000002,8.225921325000002,,2025-12-02,7
2025-12-02 08:00:00,117.73900425,197.455254425,197.455254425,,186.58,-68.84099575000002,10.87525442499998,10.87525442499998,,2025-12-02,8
