tradeday,hour,ceps_in,ceps_out,apg_in,apg_out,mavir_in,mavir_out,pse_in,pse_out,de_in,de_out,total_import_cap,total_export_cap,net_capacity,ceps_congested_in,apg_congested_in,mavir_congested_in,pse_congested_in,de_congested_in,congested_in_count,last_price,total_amount,idm_mid_price,idm_bid,idm_ask,idm_spread,dayofweek,is_weekend,month,idm_price,date,imbalance_mwh,imbalance_abs_mean,imbalance_std,imbalance_min,imbalance_max,n_periods,imbalance_sign,abs_imbalance,is_deficit
2025-12-13,23,269.0,215.0,559.0,0.0,818.0,0.0,204.0,0.0,204.0,256.0,2054.0,471.0,1583.0,0,0,0,0,0,0,82.6,98.2,95.625,46.27,144.98,98.70999999999998,5,1,12,95.625,2025-12-13,-8.154,2.0385,1.8663592901689643,-4.251,-0.439,4,-1.0,8.154,1
2025-12-14,0,271.0,80.0,721.0,0.0,1434.0,0.0,1.0,0.0,0.0,272.0,2427.0,352.0,2075.0,0,0,0,0,1,1,84.01,43.9,95.14625,88.845,101.4475,12.6025,6,1,12,95.14625,2025-12-14,-24.158,6.0395,3.542688762319753,-8.931,-1.217,4,-1.0,24.158,1
2025-12-14,1,316.0,0.0,813.0,0.0,1220.0,0.0,,,0.0,69.0,2349.0,69.0,2280.0,0,0,0,0,1,1,91.98,33.8,84.41625,80.85249999999999,87.98,7.127500000000001,6,1,12,84.41625,2025-12-14,-3.4179999999999993,2.9505,3.5443973159527893,-3.924,4.192,4,-1.0,3.4179999999999993,1
2025-12-14,2,224.0,153.0,645.0,18.0,758.0,18.0,39.0,0.0,0.0,153.0,1666.0,342.0,1324.0,0,0,0,0,1,1,85.23,41.9,89.985,83.61,96.36,12.750000000000004,6,1,12,89.985,2025-12-14,10.606,3.8315,3.426663343059348,-2.36,5.197,4,1.0,10.606,0
2025-12-14,3,431.0,281.0,838.0,124.0,838.0,124.0,40.0,0.0,0.0,281.0,2147.0,810.0,1337.0,0,0,0,0,1,1,95.0,24.9,91.85875,86.005,97.7125,11.7075,6,1,12,91.85875,2025-12-14,-9.446,2.3615000000000004,0.8714606512440285,-3.008,-1.108,4,-1.0,9.446,1
2025-12-14,4,259.0,277.0,1177.0,48.0,1327.0,48.0,0.0,32.0,0.0,277.0,2763.0,682.0,2081.0,0,0,0,1,1,2,96.0,23.5,57.725,19.6625,95.7875,76.125,6,1,12,57.725,2025-12-14,-10.975999999999999,2.7439999999999998,1.1890898480210261,-4.277,-1.409,4,-1.0,10.975999999999999,1
2025-12-14,5,199.0,166.0,1138.0,0.0,1067.0,0.0,0.0,10.0,0.0,660.0,2404.0,836.0,1568.0,0,0,0,1,1,2,90.0,47.9,94.57625,85.89,103.2625,17.3725,6,1,12,94.57625,2025-12-14,-2.045,1.0787499999999999,1.7625198580441583,-3.081,0.898,4,-1.0,2.045,1
2025-12-14,6,146.0,86.0,409.0,137.0,673.0,137.0,2.0,0.0,0.0,389.0,1230.0,749.0,481.0,0,0,0,0,1,1,91.44,29.5,84.6475,82.5275,86.7675,4.239999999999998,6,1,12,84.6475,2025-12-14,-11.782,2.9455,1.0691275259138484,-4.494,-2.056,4,-1.0,11.782,1
2025-12-14,7,147.0,192.0,472.0,143.0,610.0,143.0,76.0,0.0,0.0,390.0,1305.0,868.0,437.0,0,0,0,0,1,1,104.0,55.1,84.56,47.5075,121.6125,74.105,6,1,12,84.56,2025-12-14,25.099999999999998,6.901,9.525027908970484,-1.252,19.839,4,1.0,25.099999999999998,0
2025-12-14,8,392.0,201.0,320.0,440.0,416.0,440.0,79.0,0.0,0.0,502.0,1207.0,1583.0,-376.0,0,0,0,0,1,1,99.6,110.6,132.65125,34.7725,230.53,195.7575,6,1,12,132.65125,2025-12-14,119.748,29.936999999999998,4.503307599235625,25.808,34.375,4,1.0,119.748,0
