tradeday,hour,ceps_in,ceps_out,apg_in,apg_out,mavir_in,mavir_out,pse_in,pse_out,de_in,de_out,total_import_cap,total_export_cap,net_capacity,ceps_congested_in,apg_congested_in,mavir_congested_in,pse_congested_in,de_congested_in,congested_in_count,last_price,total_amount,idm_mid_price,idm_bid,idm_ask,idm_spread,dayofweek,is_weekend,month,idm_price
2026-02-12,3,134.0,1926.0,134.0,2999.0,397.0,2061.0,1322.0,0.0,0.0,3423.0,1987.0,10409.0,-8422.0,0,0,0,0,1,1,102.0,119.9,217.55625,30.1225,404.99,374.8675,3,0,2,217.55625
2026-02-12,4,0.0,1848.0,0.0,2316.0,457.0,1367.0,1232.0,208.0,0.0,2961.0,1689.0,8700.0,-7011.0,1,1,0,0,1,3,112.9,134.7,122.68,35.205,210.155,174.95000000000002,3,0,2,122.68
2026-02-12,5,0.0,910.0,145.0,211.0,675.0,352.0,167.0,214.0,0.0,910.0,987.0,2597.0,-1610.0,1,0,0,0,1,2,118.54,176.7,385.37625,71.00999999999999,699.7425000000001,628.7325000000001,3,0,2,385.37625
2026-02-12,6,0.0,243.0,102.0,194.0,1249.0,194.0,72.0,58.0,0.0,367.0,1423.0,1056.0,367.0,1,0,0,0,1,2,128.02,144.8,308.5725,30.15,586.995,556.845,3,0,2,308.5725
2026-02-12,7,103.0,128.0,103.0,83.0,1118.0,67.0,82.0,107.0,0.0,220.0,1406.0,605.0,801.0,0,0,0,0,1,1,141.63,57.5,287.70125,106.4475,468.95500000000004,362.5075,3,0,2,287.70125
2026-02-12,8,162.0,0.0,40.0,614.0,221.0,614.0,0.0,101.0,0.0,715.0,423.0,2044.0,-1621.0,0,0,0,1,1,2,143.12,73.8,124.05625,68.7175,179.395,110.67750000000001,3,0,2,124.05625
2026-02-12,9,288.0,0.0,244.0,1103.0,527.0,1103.0,0.0,122.0,0.0,1197.0,1059.0,3525.0,-2466.0,0,0,0,1,1,2,129.36,65.9,119.625,62.162499999999994,177.0875,114.925,3,0,2,119.625
2026-02-12,10,241.0,1836.0,1018.0,0.0,777.0,71.0,200.0,640.0,241.0,1354.0,2477.0,3901.0,-1424.0,0,0,0,0,0,0,96.26,121.8,85.67875,35.01,136.3475,101.3375,3,0,2,85.67875
2026-02-12,11,908.0,1681.0,1565.0,661.0,1317.0,1039.0,166.0,868.0,640.0,1681.0,4596.0,5930.0,-1334.0,0,0,0,0,0,0,107.11,70.5,58.64125,27.71,89.5725,61.8625,3,0,2,58.64125
2026-02-12,12,673.0,1534.0,1211.0,362.0,900.0,2979.0,532.0,498.0,236.0,1534.0,3552.0,6907.0,-3355.0,0,0,0,0,0,0,85.73,206.6,84.79624999999999,50.52,119.07249999999999,68.5525,3,0,2,84.79624999999999
