Delivery day;Period number;Period;Buy Orders (MW);Sell Orders (MW);Buy trades (MW);Sell trades (MW);Traded Quantity Difference (MW);Weighted average price of all trades (EUR/MWh);Total Traded Quantity (MW)
2025-12-13;32;07:45 - 08:00;583.3;773.3;47.4;17.3;30.1;107.63;64.7
2025-12-13;33;08:00 - 08:15;2,040.5;636.1;19.7;5.0;14.7;103.87;24.7
2025-12-13;34;08:15 - 08:30;677.8;445.8;22.3;20.2;2.1;104.24;42.5
2025-12-13;35;08:30 - 08:45;1,303.4;699.9;55.0;42.4;12.6;109.92;97.4
2025-12-13;36;08:45 - 09:00;1,338.9;929.7;62.4;64.5;-2.1;105.95;126.9
2025-12-13;37;09:00 - 09:15;500.2;551.3;37.4;46.6;-9.2;116.22;84.0
2025-12-13;38;09:15 - 09:30;535.2;473.9;38.2;46.0;-7.8;110.9;84.2
2025-12-13;39;09:30 - 09:45;573.5;382.1;49.1;36.7;12.4;103.32;85.8
2025-12-13;40;09:45 - 10:00;1,233.9;563.6;64.6;41.1;23.5;99.51;105.7
2025-12-13;41;10:00 - 10:15;304.8;383.2;5.3;4.7;0.6;112.94;10.0
2025-12-13;42;10:15 - 10:30;281.6;220.5;16.9;16.0;0.9;107.79;32.9
2025-12-13;43;10:30 - 10:45;407.4;394.4;18.1;30.3;-12.2;103.61;48.4
2025-12-13;44;10:45 - 11:00;767.0;500.9;31.1;37.5;-6.4;97.19;68.6
2025-12-13;45;11:00 - 11:15;816.9;1,357.0;31.4;15.1;16.3;110.68;46.5
2025-12-13;46;11:15 - 11:30;796.3;1,022.3;24.6;14.8;9.8;106.9;39.4
2025-12-13;47;11:30 - 11:45;3,352.8;3,073.8;31.2;18.1;13.1;104.44;49.3
2025-12-13;48;11:45 - 12:00;5,353.1;6,760.6;31.1;24.0;7.1;105.7;55.1
2025-12-13;49;12:00 - 12:15;331.5;947.8;38.8;37.3;1.5;105.66;76.1
2025-12-13;50;12:15 - 12:30;505.9;784.3;39.9;34.3;5.6;103.48;74.2
